/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10289/: vold = 53.63434345667577, vnew = 160.4575302012657, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1029/: vold = 113.05315819935045, vnew = 43.84254911734438, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10290/: vold = 87.10741028050622, vnew = 175.90739111458163, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10291/: vold = 84.24813181732353, vnew = 195.0420116224205, difference = 2, maxdiff = 0.00010788440704345703
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10292/: vold = 362.84609654755263, vnew = 41.73802902136198, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10293/: vold = 232.78564259858982, vnew = 32.02389525433019, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10294/: vold = 252.70801812078648, vnew = 85.12224431725815, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10295/: vold = 170.37759807441353, vnew = 29.807329449850137, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10296/: vold = 32.549016256228384, vnew = 124.06977962187288, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10297/: vold = 169.69679708801107, vnew = 39.6648747159341, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10298/: vold = 37.83454731103096, vnew = 139.58978359719478, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10299/: vold = 342.3156247017857, vnew = 70.91982760498038, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/103/: vold = 265.6845976659081, vnew = 47.060031477666996, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1030/: vold = 163.74973297980404, vnew = 49.45688242557874, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10300/: vold = 19.762686563129012, vnew = 111.97527048452694, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10301/: vold = 61.155195105987524, vnew = 148.70714266268345, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10302/: vold = 109.33722819382665, vnew = 44.69887630961296, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10303/: vold = 200.7608353849372, vnew = 47.791302386845786, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10304/: vold = 68.65292237510141, vnew = 142.2908778622611, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10305/: vold = 266.1699576880984, vnew = 66.16663068736474, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10306/: vold = 226.25384378566315, vnew = 68.86845414651611, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10307/: vold = 74.01041136478915, vnew = 163.98268144640656, difference = 0, maxdiff = 0.0
